%%%%%%%%%%                                                             
%%%%%%%%%%%                                                            
%%%%%%%%%%%                                                            
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%%                                                           
%%%%%%%%%%%                                                            
%%%%%%%%%%%                                                            
%%%%%%%%%%%                                                            
%%%%%%%%%%%                                                            
%%%%%%%%%%                                                             
%%%%%%%%%%                                                     %%%     
%%%%%%%%%%                                                   %%%%%%    
%%%%%%%%%%                                                  %%%%%%%    
%%%%%%%%%                                                 %%%%%%%%%    
%%%%%%%%%                                               %%%%%%%%%%%    
%%%%%%%%%                                              %%%%%%%%%%%%    
%%%%%%%%                                              %%%%%%%%%%%%%    
%%%%%%%%                                             %%%%%%%%%%%%%     
%%%%%%%%                                           %%%%%%%%%%%%%%%     
%%%%%%%                                           %%%%%%%%%%%%%%%%     
%%%%%%%                                          %%%%%%%%%%%%%%%%      
%%%%%%%                                          %%%%%%%%%%%%%%%%      
%%%%%%                                         %%%%%%%%%%%%%%%%%       
%%%%%%                                         %%%%%%%%%%%%%%%%        
%%%%%%                                        %%%%%%%%%%%%%%%%%        
%%%%%                                         %%%%%%%%%%%%%%%%         
%%%%%                                         %%%%%%%%%%%%%%%          
%%%%                                         %%%%%%%%%%%%%%%           
%%%%                                         %%%%%%%%%%%%%%.           
%%%%                                         %%%%%%%%%%%%%%.           
%%%                                          %%%%%%%%%%%%%.            
%%% %                                       %%%%%%%%%%%%%..            
%%%%%%%%                                    %%%%%%%%%%%%%..   %%%      
%%%%%%%%%%                                  %%%%%%%%%%%%%.   %%%%      
%%%%%%%%%%%                                 %%%%%%%%%%%%..   %%%%      
%%%%%%%%%%%                                 %%%%%%%%%%%..   %%%%       
%%%%%%%%%%%%                               %%%%%%%%%%%%..  %%%%%       
%%%%%%%%%%%%                               %%%%%%%%%%%%.   %%%%%       
%%%%%%%%%%%%                               %%%%%%%%%%%.   %%%%%%       
%%%%%%%%%%%%                               %%%%%%%%%%%.   %%%%%        
%%%%%%%%%%%%                               %%%%%%%%%%%   %%%%%%        
%%%%%%%%%%%%                               %%%%%%%%%%%   %%%%%%        
%%%%%%%%%%%%%                              %%%%%%%%%%%  %%%%%%         
%%%%%%%%%%%%                              %%%%%%%%%%%   %%%%%%         
%%%%%%%%%%%%                              %%%%%%%%%%%  %%%%%%          
%%%%%%%%%%%%                              %%%%%%%%%%   %%%%%%          
%%%%%%%%%%%%                             %%%%%%%%%%%   %%%%%           
%%%%%%%%%%%%                            %%%%%%%%%%%   %%%%%%           
%%%%%%%%%%%%                            %%%%%%%%%%%   %%%%%            
%%%%%%%%%%%%                            %%%%%%%%%%%  %%%%%%            
%%%%%%%%%%%%                           %%%%%%%%%%%%  %%%%%%            
%%%%%%%%%%%                            %%%%%%%%%%%   %%%%%             
%%%%%%%%%%%                           %%%%%%%%%%%%  %%%%%%            %
%%%%%%%%%%%                           %%%%%%%%%%%%  %%%%%             %
%%%%%%%%%%%                           %%%%%%%%%%%% %%%%%%            %%
%%%%%%%%%%                            %%%%%%%%%%%% %%%%%%           %%%
%%%%%%%%%%                           %%%%%%%%%%%%  %%%%%            %%%
%%%%%%%%%%                           %%%%%%%%%%%% %%%%%%           %%%%
%%%%%%%%%                           %%%%%%%%%%%%% %%%%%            %%%%
%%%%%%%%%                           %%%%%%%%%%%%% %%%%%           %%%%%
%%%%%%%%                            %%%%%%%%%%%%%%%%%%%           %%%%%
%%%%%%%%                           %%%%%%%%%%%%% %%%%%           %%%%%%
%%%%%%%%                           %%%%%%%%%%%%%%%%%%%           %%%%%%
%%%%%%%                           %%%%%%%%%%%%%%%%%%%           %%%%%%%
%%%%%%%   P                       %%%%%%%%%%%%%%%%%%%           %%%%%%%
%%%%%%                            %%%%%%%%%%%%%%%%%%%           %%%%%%%
%%%%%%                           %%%%%%%%%%%%%%%%%%%           %%%%%%%%
%%%%%                            %%%%%%%%%%%%%%%%%%%           %%%%%%%%
%%%%%                            %%%%%%%%%%%%%%%%%%%          %%%%%%%%%
%%%%%                           %%%%%% %%%%%%%%%%%%           %%%%%%%%%
%%%%                            %%%%%% %%%%%%%%%%%%           %%%%%%%%%
%%%                            %%%%%%%%%%%%%%%%%%%           %%%%%%%%%%
%%%                            %%%%%% %%%%%%%%%%%%           %%%%%%%%%%
%%                             %%%%%% %%%%%%%%%%%%          %%%%%%%%%%%
%%                            %%%%%%%%%%%%%%%%%%%           %%%%%%%%%%%
%                             %%%%%% %%%%%%%%%%%%           %%%%%%%%%%%
                             %%%%%%%%%%%%%%%%%%%           %%%%%%%%%%%%
                             %%%%%% %%%%%%%%%%%%           %%%%%%%%%%%%
                             %%%%%% %%%%%%%%%%%%           %%%%%%%%%%%%
                            %%%%%%%%%%%%%%%%%%%            %%%%%%%%%%%%
                            %%%%%% %%%%%%%%%%%%            %%%%%%%%%%%%
                           %%%%%%%%%%%%%%%%%%%             %%%%%%%%%%%%
                           %%%%%% %%%%%%%%%%%%            %%%%%%%%%%%%%
                          %%%%%%% %%%%%%%%%%%%            %%%%%%%%%%%%%
                          %%%%%%%%%%%%%%%%%%%             %%%%%%%%%%%%%
                         %%%%%%% %%%%%%%%%%%%             %%%%%%%%%%%%%
                         %%%%%% %%%%%%%%%%%%%             %%%%%%%%%%%%%
                        %%%%%%% %%%%%%%%%%%%%             %%%%%%%%%%%%%
                        %%%%%%%%%%%%%%%%%%%%%             %%%%%%%%%%%%%
                        %%%%%% %.%%%%%%%%%%%%             %%%%%%%%%%%%%
                       %%%%%%%...%%%%%%%%%%%%             %%%%%%%%%%%%%
                       %%%%%%...%%%%%%%%%%%%%              %%%%%%%%%%%%
                       %%%%%%...%%%%%%%%%%%%               %%%%%%%%%%%%
                       %%%%%....%%%%%%%%%%%%               %%%%%%%%%%%%
                      %%%%% ...%%%%%%%%%%%%%               %%%%%%%%%%%%
                      %%%%%....%%%%%%%%%%%%%                %%%%%%%%%%%
                      %%%% ....%%%%%%%%%%%%%                  %%%%%%%%%
                      %%%%....%%%%%%%%%%%%%%                    %%%%%%%
                       %% ...%%%%%%%%%%%%%%                         %%%
                          ...%%%%%%%%%%%%%%                        %%%%
                          ...%%%%%%%%%%%%%%                        %%%%
                          . %%%%%%%%%%%%%%%                        %%%%
                           %%%%%%%%%%%%%%%%                       %%%%%
                          %%%%%%%%%%%%%%%%                        %%%%%
                         %%%%%%%%%%%%%%%%                        %%%%%%
                        %%%%%%%%%%%%%%%%%                        %%%%%%
                        %%%%%%%%%%%%%%%%                         %%%%%%
                       %%%%%%%%%%%%%%%%%                        %%%%%%%
                      %%%%%%%%%%%%%%%%%                         %%%%%%%
                      %%%%%%%%%%%%%%%%                          %%%%%%%
                      %%%%%%%%%%%%%%%                          %%%%%%%%
                     %%%%%%%%%%%%%%                            %%%%%%%%
                     %%%%%%%%%%%%%                             %%%%%%%%
                     %%%%%%%%%%%%                             %%%%%%%%%
                     %%%%%%%%%%%                              %%%%%%%%%
                     %%%%%%%%%                                %%%%%%%%%
                     %%%%%%%%                                %%%%%%%%%%
                     %%%%%%                                  %%%%%%%%%%
                      %%%                                    %%%%%%%%%%
                                                             %%%%%%%%%%
                                                            %%%%%%%%%%%
                                                            %%%%%%%%%%%
                                                            %%%%%%%%%%%
                                                            %%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                           %%%%%%%%%%%%
                                                            %%%%%%%%%%%
                                                            %%%%%%%%%%%
                                                             %%%%%%%%%%
